dates,l1,ssim,accuracy
2020-01-01,0.0233,0.8993,0.9982
2020-01-08,0.0244,0.9166,0.9982
2020-01-15,0.0214,0.9187,0.9982
2020-01-22,0.0229,0.9144,0.9982
2020-01-29,0.0231,0.9184,0.9982
2020-02-05,0.026,0.913,0.9982
2020-02-12,0.0243,0.9178,0.9982
2020-02-19,0.0228,0.9173,0.9982
2020-02-26,0.0273,0.9082,0.9982
2020-03-04,0.0256,0.9109,0.9982
2020-03-11,0.0269,0.9029,0.9982
2020-03-18,0.0265,0.9005,0.9982
2020-03-25,0.0308,0.8851,0.9981
2020-04-01,0.0333,0.876,0.9979
2020-04-08,0.0386,0.8629,0.9977
2020-04-15,0.043,0.8601,0.9974
2020-04-22,0.0505,0.8531,0.9967
2020-04-29,0.0678,0.8106,0.9905
2020-05-06,0.0849,0.7773,0.9559
2020-05-13,0.0816,0.7716,0.9369
2020-05-20,0.0765,0.7454,0.9294
2020-05-27,0.0925,0.6887,0.9352
2020-06-03,0.0945,0.6883,0.9566
2020-06-10,0.113,0.6463,0.9511
2020-06-17,0.114,0.5805,0.9417
2020-06-24,0.1383,0.5365,0.9269
2020-07-01,0.1292,0.4469,0.914
2020-07-08,0.1388,0.5022,0.9322
2020-07-15,0.1679,0.5096,0.9233
2020-07-22,0.1522,0.4758,0.9073
2020-07-29,0.1212,0.4809,0.8704
2020-08-05,0.0986,0.4627,0.8446
2020-08-12,0.0862,0.441,0.8458
2020-08-19,0.0904,0.4142,0.8816
2020-08-26,0.097,0.4147,0.8811
2020-09-02,0.0946,0.4629,0.9031
2020-09-09,0.0868,0.4851,0.9116
2020-09-16,0.0906,0.5276,0.8916
2020-09-23,0.0664,0.6201,0.9255
2020-09-30,0.115,0.5503,0.8902
2020-10-07,0.1082,0.539,0.9111
2020-10-14,0.0952,0.5452,0.9151
2020-10-21,0.1075,0.5256,0.8939
2020-10-28,0.0933,0.5643,0.9057
2020-11-04,0.0961,0.5925,0.8967
2020-11-11,0.0853,0.634,0.9212
2020-11-18,0.0763,0.6444,0.9147
2020-11-25,0.0971,0.6552,0.8506
2020-12-02,0.0742,0.7471,0.9019
2020-12-09,0.0726,0.7868,0.9257
2020-12-16,0.0664,0.7562,0.9735
2020-12-23,0.0341,0.8391,0.9977
2021-01-01,0.0243,0.9022,0.9982
2021-01-08,0.026,0.908,0.9982
2021-01-15,0.0254,0.9046,0.9982
2021-01-22,0.0216,0.9243,0.9982
2021-01-29,0.0203,0.9286,0.9982
2021-02-05,0.0219,0.9118,0.9982
2021-02-12,0.0212,0.9194,0.9982
2021-02-19,0.0216,0.9246,0.9982
2021-02-26,0.0228,0.9271,0.9982
2021-03-05,0.0238,0.925,0.9982
2021-03-12,0.0229,0.9271,0.9982
2021-03-19,0.0231,0.9287,0.9982
2021-03-26,0.0241,0.9216,0.9982
2021-04-02,0.0268,0.9217,0.9982
2021-04-09,0.0269,0.9191,0.9982
2021-04-16,0.0229,0.9163,0.998
2021-04-23,0.0307,0.8659,0.9978
2021-04-30,0.036,0.8599,0.9973
2021-05-07,0.0484,0.845,0.9961
2021-05-14,0.0572,0.8166,0.9888
2021-05-21,0.0761,0.7752,0.9671
2021-05-28,0.097,0.6646,0.9519
2021-06-04,0.1214,0.6437,0.9504
2021-06-11,0.1368,0.6062,0.9493
2021-06-18,0.1073,0.5547,0.9463
2021-06-25,0.1625,0.5723,0.9376
2021-07-02,0.2099,0.4468,0.9169
2021-07-09,0.1971,0.4578,0.9033
2021-07-16,0.217,0.3885,0.8603
2021-07-23,0.2455,0.3898,0.8124
2021-07-30,0.2547,0.36,0.8053
2021-08-06,0.2353,0.3622,0.7844
2021-08-13,0.2151,0.3424,0.7408
2021-08-20,0.1783,0.3502,0.7315
2021-08-27,0.1484,0.3631,0.7771
2021-09-03,0.1524,0.3805,0.7527
2021-09-10,0.146,0.4007,0.7956
2021-09-17,0.137,0.4019,0.817
2021-09-24,0.1718,0.4179,0.8282
2021-10-01,0.1792,0.4348,0.828
2021-10-08,0.1902,0.4602,0.8377
2021-10-15,0.1748,0.4696,0.8639
2021-10-22,0.1435,0.5353,0.8767
2021-10-29,0.1555,0.5489,0.8897
2021-11-05,0.1271,0.6079,0.9031
2021-11-12,0.1387,0.6329,0.878
2021-11-19,0.1794,0.6319,0.8603
2021-11-26,0.1477,0.6832,0.9086
2021-12-03,0.11,0.7475,0.9359
2021-12-10,0.0922,0.7916,0.9861
2021-12-17,0.0592,0.8384,0.9982
2021-12-24,0.0408,0.8603,0.9982
2022-01-01,0.0165,0.9368,0.9982
2022-01-08,0.022,0.9275,0.9982
2022-01-15,0.016,0.9393,0.9982
2022-01-22,0.017,0.9341,0.9982
2022-01-29,0.0171,0.9385,0.9982
2022-02-05,0.0185,0.9374,0.9982
2022-02-12,0.0175,0.9362,0.9982
2022-02-19,0.0179,0.9375,0.9982
2022-02-26,0.0238,0.924,0.9982
2022-03-05,0.0171,0.9409,0.9982
2022-03-12,0.0175,0.9374,0.9982
2022-03-19,0.0194,0.9398,0.9982
2022-03-26,0.0207,0.9367,0.9982
2022-04-02,0.0283,0.9201,0.9982
2022-04-09,0.0222,0.9302,0.9982
2022-04-16,0.033,0.9044,0.9982
2022-04-23,0.0206,0.9133,0.9982
2022-04-30,0.028,0.8886,0.9963
2022-05-07,0.0366,0.8587,0.994
2022-05-14,0.0392,0.8332,0.9891
2022-05-21,0.0457,0.8111,0.9868
2022-05-28,0.0647,0.7147,0.9755
2022-06-04,0.075,0.6276,0.9705
2022-06-11,0.0798,0.6217,0.9672
2022-06-18,0.0915,0.6285,0.9695
2022-06-25,0.0896,0.5916,0.9691
2022-07-02,0.0754,0.5835,0.9685
2022-07-09,0.0713,0.5986,0.9674
2022-07-16,0.0947,0.5644,0.9642
2022-07-23,0.0933,0.5397,0.9586
2022-07-30,0.104,0.5021,0.951
2022-08-06,0.0872,0.4682,0.923
2022-08-13,0.1013,0.4129,0.9183
2022-08-20,0.0975,0.4081,0.9205
2022-08-27,0.1176,0.4213,0.8932
2022-09-03,0.1485,0.3809,0.8544
2022-09-10,0.1746,0.4033,0.8169
2022-09-17,0.1659,0.4237,0.8072
2022-09-24,0.1447,0.4671,0.8381
2022-10-01,0.1376,0.4403,0.845
2022-10-08,0.1951,0.4211,0.778
2022-10-15,0.1412,0.5094,0.8348
2022-10-22,0.151,0.5228,0.8378
2022-10-29,0.1253,0.5701,0.8757
2022-11-05,0.1069,0.6299,0.8878
2022-11-12,0.1232,0.5957,0.8541
2022-11-19,0.1457,0.5894,0.8363
2022-11-26,0.0926,0.7262,0.9121
2022-12-03,0.0988,0.7227,0.9322
2022-12-10,0.0702,0.7675,0.9665
2022-12-17,0.0467,0.8373,0.9907
2022-12-24,0.0292,0.8834,0.9965
2023-01-01,0.0178,0.9297,0.9981
2023-01-08,0.0179,0.9332,0.9981
2023-01-15,0.022,0.9182,0.9982
2023-01-22,0.0173,0.9389,0.9982
2023-01-29,0.0154,0.939,0.9982
2023-02-05,0.0196,0.9304,0.9982
2023-02-12,0.0193,0.9292,0.9982
2023-02-19,0.0176,0.936,0.9982
2023-02-26,0.0207,0.9259,0.9981
2023-03-05,0.0161,0.9429,0.9982
2023-03-12,0.0209,0.8948,0.9982
2023-03-19,0.0246,0.886,0.9982
2023-03-26,0.0263,0.8955,0.9982
2023-04-02,0.0192,0.928,0.9982
2023-04-09,0.0238,0.9118,0.9982
2023-04-16,0.0214,0.9176,0.9982
2023-04-23,0.0232,0.915,0.9982
2023-04-30,0.0245,0.9007,0.998
2023-05-07,0.0342,0.8753,0.9973
2023-05-14,0.045,0.8027,0.9913
2023-05-21,0.0582,0.7219,0.9834
2023-05-28,0.0712,0.7149,0.9782
2023-06-04,0.1044,0.6531,0.9686
2023-06-11,0.1253,0.6182,0.9417
2023-06-18,0.1292,0.6012,0.9483
2023-06-25,0.1227,0.5771,0.9563
2023-07-02,0.155,0.5029,0.948
2023-07-09,0.1223,0.5191,0.938
2023-07-16,0.1176,0.5081,0.9226
2023-07-23,0.1068,0.4877,0.894
2023-07-30,0.1004,0.4658,0.8807
2023-08-06,0.118,0.4059,0.8807
2023-08-13,0.106,0.4157,0.8636
2023-08-20,0.1175,0.427,0.8726
2023-08-27,0.1315,0.4092,0.8606
2023-09-03,0.1569,0.4366,0.8431
2023-09-10,0.1889,0.3942,0.8156
2023-09-17,0.2254,0.3644,0.7427
2023-09-24,0.2182,0.3687,0.7555
2023-10-01,0.2356,0.3447,0.7451
2023-10-08,0.1644,0.4317,0.8254
2023-10-15,0.1244,0.4814,0.8704
2023-10-22,0.091,0.5903,0.8963
2023-10-29,0.1035,0.589,0.8834
2023-11-05,0.0851,0.6495,0.8998
2023-11-12,0.09,0.6724,0.9045
2023-11-19,0.0775,0.7141,0.906
2023-11-26,0.0982,0.7149,0.8878
2023-12-03,0.0978,0.7571,0.906
2023-12-10,0.0714,0.8095,0.9647
2023-12-17,0.0353,0.8794,0.997
2023-12-24,0.0194,0.9239,0.9982
