dates,l1,ssim,accuracy
2020-01-01,0.0312,0.8673,0.991
2020-01-08,0.0311,0.8677,0.991
2020-01-15,0.031,0.8713,0.991
2020-01-22,0.0307,0.8663,0.991
2020-01-29,0.0321,0.8612,0.991
2020-02-05,0.0289,0.8691,0.991
2020-02-12,0.0289,0.8658,0.991
2020-02-19,0.0291,0.8689,0.991
2020-02-26,0.0363,0.8367,0.991
2020-03-04,0.0347,0.8434,0.991
2020-03-11,0.0312,0.8654,0.991
2020-03-18,0.0318,0.8602,0.991
2020-03-25,0.0301,0.8649,0.991
2020-04-01,0.0277,0.873,0.991
2020-04-08,0.0323,0.8664,0.991
2020-04-15,0.0318,0.8499,0.991
2020-04-22,0.0397,0.8311,0.991
2020-04-29,0.0431,0.8132,0.991
2020-05-06,0.0394,0.8162,0.991
2020-05-13,0.0495,0.7775,0.9909
2020-05-20,0.0556,0.7679,0.9892
2020-05-27,0.0697,0.7149,0.9803
2020-06-03,0.0727,0.7205,0.9733
2020-06-10,0.0891,0.6863,0.9608
2020-06-17,0.1088,0.6465,0.937
2020-06-24,0.1125,0.6133,0.904
2020-07-01,0.1151,0.59,0.9012
2020-07-08,0.1106,0.5467,0.8729
2020-07-15,0.1043,0.5461,0.8469
2020-07-22,0.0877,0.5423,0.8322
2020-07-29,0.0738,0.5541,0.858
2020-08-05,0.0565,0.5863,0.9171
2020-08-12,0.0557,0.5964,0.9385
2020-08-19,0.055,0.6409,0.9424
2020-08-26,0.0566,0.5995,0.9318
2020-09-02,0.0745,0.5931,0.9117
2020-09-09,0.0725,0.6008,0.9024
2020-09-16,0.0865,0.6023,0.886
2020-09-23,0.097,0.5713,0.854
2020-09-30,0.1589,0.3661,0.7364
2020-10-07,0.201,0.3567,0.6036
2020-10-14,0.2576,0.3466,0.4813
2020-10-21,0.3361,0.3475,0.5001
2020-10-28,0.3666,0.4106,0.5949
2020-11-04,0.2123,0.5726,0.8788
2020-11-11,0.1047,0.6575,0.9784
2020-11-18,0.0792,0.7518,0.9738
2020-11-25,0.0401,0.84,0.991
2020-12-02,0.0523,0.8189,0.9893
2020-12-09,0.0355,0.8562,0.991
2020-12-16,0.0349,0.8602,0.991
2020-12-23,0.0352,0.856,0.991
2021-01-01,0.0289,0.8719,0.9909
2021-01-08,0.0339,0.8567,0.9909
2021-01-15,0.0305,0.8568,0.991
2021-01-22,0.0298,0.8622,0.991
2021-01-29,0.0288,0.8666,0.991
2021-02-05,0.0335,0.8475,0.991
2021-02-12,0.032,0.8592,0.991
2021-02-19,0.0274,0.8696,0.991
2021-02-26,0.0288,0.8649,0.991
2021-03-05,0.0272,0.8759,0.991
2021-03-12,0.0304,0.857,0.991
2021-03-19,0.0273,0.8735,0.991
2021-03-26,0.0269,0.879,0.991
2021-04-02,0.0266,0.8751,0.991
2021-04-09,0.026,0.8792,0.991
2021-04-16,0.0277,0.8574,0.991
2021-04-23,0.0307,0.847,0.991
2021-04-30,0.0342,0.8348,0.991
2021-05-07,0.0376,0.8263,0.991
2021-05-14,0.0471,0.7961,0.991
2021-05-21,0.0546,0.7768,0.9905
2021-05-28,0.0791,0.7144,0.9717
2021-06-04,0.1065,0.6752,0.9466
2021-06-11,0.1048,0.654,0.926
2021-06-18,0.1141,0.6411,0.9169
