dates,l1,ssim,accuracy
2020-01-01,0.0457,0.6953,0.9748
2020-01-08,0.0412,0.7182,0.9697
2020-01-15,0.0536,0.6937,0.9577
2020-01-22,0.0513,0.7047,0.9588
2020-01-29,0.0794,0.6682,0.9385
2020-02-05,0.0704,0.6643,0.9428
2020-02-12,0.0551,0.681,0.9586
2020-02-19,0.0561,0.6591,0.9579
2020-02-26,0.0649,0.6658,0.9582
2020-03-04,0.0648,0.6858,0.9591
2020-03-11,0.059,0.7061,0.9539
2020-03-18,0.063,0.6881,0.954
2020-03-25,0.0557,0.7072,0.9568
2020-04-01,0.0752,0.6654,0.9451
2020-04-08,0.076,0.6837,0.9523
2020-04-15,0.067,0.7131,0.9572
2020-04-22,0.0659,0.6706,0.9511
2020-04-29,0.0699,0.6762,0.9438
2020-05-06,0.0596,0.6989,0.9598
2020-05-13,0.0618,0.6956,0.9542
2020-05-20,0.0755,0.6464,0.93
2020-05-27,0.0634,0.6476,0.9276
2020-06-03,0.0694,0.6496,0.912
2020-06-10,0.0656,0.6477,0.906
2020-06-17,0.0712,0.6034,0.8945
2020-06-24,0.0696,0.6288,0.8931
2020-07-01,0.066,0.6046,0.898
2020-07-08,0.0517,0.6222,0.9214
2020-07-15,0.0396,0.6528,0.9431
2020-07-22,0.0396,0.6267,0.9426
2020-07-29,0.0352,0.6612,0.9501
2020-08-05,0.0413,0.6365,0.9528
2020-08-12,0.0413,0.629,0.9447
2020-08-19,0.049,0.6221,0.938
2020-08-26,0.0518,0.573,0.9264
2020-09-02,0.0608,0.6228,0.9131
2020-09-09,0.0604,0.6003,0.9121
2020-09-16,0.0565,0.6272,0.9154
2020-09-23,0.0582,0.6431,0.9136
2020-09-30,0.0467,0.638,0.9302
2020-10-07,0.0467,0.5822,0.9332
2020-10-14,0.0435,0.6468,0.9215
2020-10-21,0.0501,0.6199,0.9062
2020-10-28,0.0591,0.6418,0.892
2020-11-04,0.0709,0.6001,0.8718
2020-11-11,0.0905,0.5485,0.8506
2020-11-18,0.1033,0.5748,0.837
2020-11-25,0.1114,0.5354,0.83
2020-12-02,0.1213,0.5282,0.8228
2020-12-09,0.1096,0.5468,0.8583
2020-12-16,0.083,0.6267,0.9166
2020-12-23,0.0686,0.6059,0.9343
2021-01-01,0.0675,0.6751,0.9215
2021-01-08,0.0836,0.6641,0.907
2021-01-15,0.0674,0.678,0.9305
2021-01-22,0.0727,0.6571,0.9378
2021-01-29,0.0828,0.6425,0.9308
2021-02-05,0.0976,0.6384,0.9278
2021-02-12,0.118,0.6124,0.9258
2021-02-19,0.1176,0.6084,0.9146
2021-02-26,0.117,0.587,0.8945
2021-03-05,0.1059,0.6185,0.9136
2021-03-12,0.1045,0.6294,0.9217
2021-03-19,0.1176,0.6071,0.9099
2021-03-26,0.1083,0.6149,0.9063
2021-04-02,0.1059,0.6053,0.8942
2021-04-09,0.1078,0.5763,0.874
2021-04-16,0.0784,0.6432,0.9172
2021-04-23,0.0687,0.6656,0.9344
2021-04-30,0.0784,0.662,0.9382
2021-05-07,0.0727,0.6756,0.9398
2021-05-14,0.0762,0.664,0.9434
2021-05-21,0.0775,0.6576,0.9335
2021-05-28,0.0882,0.6194,0.903
2021-06-04,0.0814,0.5898,0.9119
2021-06-11,0.0872,0.5648,0.888
2021-06-18,0.0691,0.5834,0.9072
2021-06-25,0.0697,0.6014,0.8957
2021-07-02,0.0538,0.6307,0.9125
2021-07-09,0.0507,0.6526,0.9432
2021-07-16,0.0548,0.6251,0.941
2021-07-23,0.0408,0.706,0.9509
2021-07-30,0.0421,0.6522,0.949
2021-08-06,0.0341,0.6773,0.9536
2021-08-13,0.0286,0.6758,0.9565
2021-08-20,0.0281,0.6401,0.9644
2021-08-27,0.0242,0.6915,0.9636
2021-09-03,0.0273,0.6438,0.9705
2021-09-10,0.0215,0.6875,0.9734
2021-09-17,0.021,0.688,0.9778
2021-09-24,0.0241,0.702,0.9684
2021-10-01,0.0222,0.7214,0.9665
2021-10-08,0.0248,0.685,0.9616
2021-10-15,0.0271,0.7355,0.9566
2021-10-22,0.0291,0.7246,0.9485
2021-10-29,0.0527,0.6816,0.9522
2021-11-05,0.0385,0.7173,0.9578
2021-11-12,0.0556,0.6944,0.9512
2021-11-19,0.0832,0.67,0.9509
2021-11-26,0.1026,0.6423,0.9408
2021-12-03,0.1109,0.6319,0.926
2021-12-10,0.101,0.6324,0.9241
2021-12-17,0.0943,0.6748,0.9368
2021-12-24,0.0947,0.6413,0.941
2022-01-01,0.0498,0.7435,0.9632
2022-01-08,0.0558,0.7432,0.9572
2022-01-15,0.0465,0.7658,0.9589
2022-01-22,0.0476,0.7735,0.959
2022-01-29,0.0753,0.699,0.9536
2022-02-05,0.0542,0.7664,0.9615
2022-02-12,0.0846,0.7305,0.9316
2022-02-19,0.0662,0.7403,0.9558
2022-02-26,0.0625,0.7592,0.9545
2022-03-05,0.0583,0.7678,0.9626
2022-03-12,0.0761,0.7308,0.9472
2022-03-19,0.0978,0.6352,0.9198
2022-03-26,0.0635,0.7286,0.9628
2022-04-02,0.0545,0.7547,0.9645
2022-04-09,0.0617,0.7245,0.9582
2022-04-16,0.0516,0.735,0.9728
2022-04-23,0.05,0.7632,0.9708
2022-04-30,0.0569,0.698,0.958
2022-05-07,0.0685,0.7134,0.9552
2022-05-14,0.0583,0.7128,0.9576
2022-05-21,0.072,0.6734,0.9498
2022-05-28,0.0611,0.6743,0.9601
2022-06-04,0.0702,0.633,0.9307
2022-06-11,0.0652,0.6677,0.9198
2022-06-18,0.0597,0.6503,0.9111
2022-06-25,0.0635,0.63,0.8995
2022-07-02,0.0533,0.6329,0.9202
2022-07-09,0.0458,0.671,0.9438
2022-07-16,0.0366,0.6696,0.9567
2022-07-23,0.0407,0.7096,0.9493
2022-07-30,0.032,0.7047,0.9568
2022-08-06,0.0321,0.6971,0.9618
2022-08-13,0.0351,0.6593,0.9509
2022-08-20,0.0281,0.6937,0.9643
2022-08-27,0.0278,0.7099,0.9672
2022-09-03,0.0282,0.7067,0.9737
2022-09-10,0.0346,0.6784,0.9681
2022-09-17,0.0392,0.669,0.9556
2022-09-24,0.0325,0.6888,0.9678
2022-10-01,0.0266,0.7319,0.9795
2022-10-08,0.0293,0.7082,0.9717
2022-10-15,0.0336,0.7017,0.9451
2022-10-22,0.046,0.6826,0.9377
2022-10-29,0.052,0.6767,0.9208
2022-11-05,0.0615,0.7041,0.918
2022-11-12,0.0663,0.6789,0.9046
2022-11-19,0.0695,0.6717,0.9061
2022-11-26,0.0751,0.6661,0.8945
2022-12-03,0.092,0.6253,0.8704
2022-12-10,0.0812,0.6435,0.8965
2022-12-17,0.0828,0.654,0.903
2022-12-24,0.0744,0.6743,0.9174
2023-01-01,0.0705,0.6714,0.9085
2023-01-08,0.0588,0.6947,0.9372
2023-01-15,0.0782,0.6524,0.8984
2023-01-22,0.0796,0.6307,0.9012
2023-01-29,0.0655,0.686,0.9097
2023-02-05,0.0621,0.7122,0.9453
2023-02-12,0.0982,0.6298,0.8859
2023-02-19,0.0835,0.6558,0.9085
2023-02-26,0.086,0.647,0.9031
2023-03-05,0.063,0.7226,0.9382
2023-03-12,0.0606,0.7368,0.9431
2023-03-19,0.0572,0.7459,0.961
2023-03-26,0.0646,0.741,0.9628
2023-04-02,0.0688,0.7483,0.9631
2023-04-09,0.0698,0.7454,0.9573
2023-04-16,0.0667,0.7226,0.9558
2023-04-23,0.0656,0.7037,0.9459
2023-04-30,0.0633,0.6934,0.951
2023-05-07,0.0759,0.7298,0.9534
2023-05-14,0.075,0.714,0.9543
2023-05-21,0.0717,0.6571,0.9584
2023-05-28,0.0596,0.6971,0.9624
2023-06-04,0.0568,0.6933,0.9519
2023-06-11,0.0542,0.6815,0.946
2023-06-18,0.0538,0.6849,0.9477
2023-06-25,0.0578,0.6682,0.9278
2023-07-02,0.0508,0.6903,0.9393
2023-07-09,0.0441,0.714,0.9601
2023-07-16,0.0521,0.657,0.9375
2023-07-23,0.0513,0.6774,0.9379
2023-07-30,0.053,0.6284,0.935
2023-08-06,0.0392,0.6733,0.9443
2023-08-13,0.0431,0.6412,0.9465
2023-08-20,0.0383,0.6283,0.9482
2023-08-27,0.0358,0.6499,0.9505
2023-09-03,0.0317,0.6647,0.9709
2023-09-10,0.0251,0.6501,0.9826
2023-09-17,0.0247,0.6494,0.9735
2023-09-24,0.0281,0.6842,0.9742
2023-10-01,0.0341,0.6436,0.9711
2023-10-08,0.0294,0.7186,0.9699
2023-10-15,0.0356,0.7115,0.931
2023-10-22,0.0424,0.6956,0.9217
2023-10-29,0.0427,0.7421,0.9531
2023-11-05,0.0575,0.7082,0.93
2023-11-12,0.0584,0.6928,0.9446
2023-11-19,0.0788,0.6939,0.9342
2023-11-26,0.0551,0.7087,0.9447
2023-12-03,0.0601,0.7053,0.955
2023-12-10,0.0588,0.7027,0.9492
2023-12-17,0.0577,0.7309,0.9334
2023-12-24,0.0645,0.7209,0.9653
