dates,l1,ssim,accuracy
2020-01-01,0.0589,0.7689,0.979
2020-01-08,0.0665,0.7539,0.9716
2020-01-15,0.0764,0.7369,0.9559
2020-01-22,0.0705,0.7503,0.9604
2020-01-29,0.1004,0.7175,0.9448
2020-02-05,0.0647,0.7455,0.961
2020-02-12,0.059,0.7674,0.9714
2020-02-19,0.0612,0.7299,0.9654
2020-02-26,0.0658,0.7393,0.9695
2020-03-04,0.0534,0.7719,0.972
2020-03-11,0.0494,0.7794,0.9696
2020-03-18,0.0562,0.7542,0.9671
2020-03-25,0.0562,0.7656,0.9688
2020-04-01,0.0749,0.7363,0.9531
2020-04-08,0.0771,0.7428,0.9612
2020-04-15,0.0764,0.7491,0.9589
2020-04-22,0.0741,0.7211,0.957
2020-04-29,0.0744,0.7095,0.95
2020-05-06,0.0749,0.7224,0.9564
2020-05-13,0.0808,0.7191,0.9563
2020-05-20,0.1056,0.6486,0.9203
2020-05-27,0.1005,0.6383,0.9059
2020-06-03,0.0957,0.6369,0.8878
2020-06-10,0.1055,0.6076,0.8758
2020-06-17,0.1113,0.5708,0.8616
2020-06-24,0.1069,0.5815,0.8611
2020-07-01,0.0972,0.5869,0.8626
2020-07-08,0.0733,0.5943,0.8758
2020-07-15,0.0567,0.6034,0.8995
2020-07-22,0.0538,0.6287,0.9068
2020-07-29,0.0374,0.6608,0.9422
2020-08-05,0.0357,0.6531,0.9512
2020-08-12,0.0296,0.6571,0.9585
2020-08-19,0.0328,0.6022,0.9537
2020-08-26,0.0445,0.5771,0.9433
2020-09-02,0.0499,0.6088,0.9276
2020-09-09,0.0489,0.6523,0.9258
2020-09-16,0.052,0.6115,0.9236
2020-09-23,0.0544,0.6247,0.9189
2020-09-30,0.0591,0.6417,0.9136
2020-10-07,0.063,0.5692,0.9177
2020-10-14,0.0665,0.5839,0.9092
2020-10-21,0.0759,0.5638,0.8422
2020-10-28,0.1281,0.528,0.7487
2020-11-04,0.1237,0.5506,0.7998
2020-11-11,0.1365,0.5429,0.806
2020-11-18,0.1791,0.5315,0.7571
2020-11-25,0.1612,0.5531,0.8044
2020-12-02,0.1954,0.5466,0.7827
2020-12-09,0.1471,0.5893,0.8506
2020-12-16,0.1173,0.6388,0.903
2020-12-23,0.0852,0.7057,0.9464
2021-01-01,0.0783,0.7359,0.9592
2021-01-08,0.0884,0.6673,0.9288
2021-01-15,0.068,0.7046,0.9545
2021-01-22,0.0857,0.7007,0.9663
2021-01-29,0.0825,0.7104,0.967
2021-02-05,0.0924,0.6907,0.954
2021-02-12,0.1012,0.6903,0.945
2021-02-19,0.0975,0.697,0.9439
2021-02-26,0.0697,0.7257,0.9627
2021-03-05,0.0783,0.7189,0.9513
2021-03-12,0.0744,0.7259,0.9654
2021-03-19,0.0837,0.7114,0.9508
2021-03-26,0.0875,0.6985,0.9507
2021-04-02,0.082,0.7128,0.9449
2021-04-09,0.0907,0.6804,0.9235
2021-04-16,0.0777,0.7028,0.9483
2021-04-23,0.0713,0.7102,0.9636
2021-04-30,0.1035,0.6787,0.952
2021-05-07,0.0915,0.672,0.956
2021-05-14,0.0995,0.653,0.9528
2021-05-21,0.1057,0.6406,0.9346
2021-05-28,0.1402,0.5669,0.8679
2021-06-04,0.1481,0.5343,0.8602
2021-06-11,0.1672,0.4794,0.818
2021-06-18,0.1383,0.5078,0.8555
2021-06-25,0.1389,0.5105,0.8354
2021-07-02,0.1166,0.5521,0.8789
2021-07-09,0.1152,0.5416,0.8908
2021-07-16,0.123,0.5466,0.8728
2021-07-23,0.0916,0.5838,0.9005
2021-07-30,0.0821,0.5868,0.8847
2021-08-06,0.063,0.5775,0.8927
2021-08-13,0.0592,0.602,0.8945
2021-08-20,0.0526,0.5694,0.9059
2021-08-27,0.0436,0.6206,0.9223
2021-09-03,0.0523,0.6041,0.9242
2021-09-10,0.0405,0.6088,0.9284
2021-09-17,0.0388,0.6354,0.9418
2021-09-24,0.0394,0.6603,0.9289
2021-10-01,0.0387,0.6727,0.9255
2021-10-08,0.0642,0.5751,0.9098
2021-10-15,0.0721,0.6333,0.9041
2021-10-22,0.0842,0.6427,0.9235
2021-10-29,0.1204,0.6055,0.939
2021-11-05,0.0798,0.6403,0.9587
2021-11-12,0.0974,0.6208,0.9505
2021-11-19,0.1267,0.6069,0.9279
2021-11-26,0.1513,0.5764,0.9032
2021-12-03,0.1487,0.6132,0.9206
2021-12-10,0.1401,0.6316,0.9175
2021-12-17,0.14,0.63,0.9236
2021-12-24,0.1243,0.6622,0.9502
2022-01-01,0.0651,0.7574,0.9644
2022-01-08,0.0626,0.7698,0.9648
2022-01-15,0.0576,0.7682,0.9679
2022-01-22,0.0621,0.7634,0.9584
2022-01-29,0.0823,0.6915,0.9616
2022-02-05,0.0609,0.7525,0.9633
2022-02-12,0.1014,0.6778,0.9254
2022-02-19,0.0784,0.7226,0.9489
2022-02-26,0.0709,0.7418,0.9524
2022-03-05,0.0553,0.7772,0.9598
2022-03-12,0.0764,0.7276,0.9496
2022-03-19,0.0905,0.7172,0.9511
2022-03-26,0.066,0.7343,0.9621
2022-04-02,0.0605,0.741,0.9602
2022-04-09,0.0653,0.7319,0.9582
2022-04-16,0.0615,0.7407,0.9642
2022-04-23,0.06,0.7435,0.9677
2022-04-30,0.0704,0.6913,0.9576
2022-05-07,0.076,0.7001,0.9567
2022-05-14,0.0738,0.6878,0.9634
2022-05-21,0.0842,0.6296,0.9535
2022-05-28,0.0793,0.6406,0.9588
2022-06-04,0.1004,0.5971,0.9183
2022-06-11,0.0983,0.5982,0.8964
2022-06-18,0.0935,0.5759,0.891
2022-06-25,0.1056,0.5637,0.878
2022-07-02,0.1062,0.5408,0.8853
2022-07-09,0.1008,0.5523,0.9225
2022-07-16,0.09,0.5756,0.9348
