Year and quater,SEAS5_mae,2D Conv-based_mae,3D Conv-based_mae,TimeSformer_mae,SEAS5_ssim,2D Conv-based_ssim,3D Conv-based_ssim,TimeSformer_ssim
2020Q1,"0,0376","0,0250","0,0463","0,1325","0,8847","0,9095","0,8692","0,6736"
2020Q2,"0,0533","0,0791","0,0727","0,0910","0,8328","0,7459","0,7756","0,7361"
2020Q3,"0,1152","0,1096","0,1029","0,2026","0,6118","0,4853","0,5082","0,4040"
2021Q1,"0,0347","0,0230","0,0368","0,1428","0,8925","0,9195","0,8852","0,5981"
2021Q2,"0,0530","0,0731","0,0611","0,0940","0,8409","0,7662","0,7892","0,6928"
2021Q3,"0,0780","0,1930","0,1546","0,1470","0,6334","0,3894","0,4180","0,4088"
2022Q1,"0,0348","0,0185","0,0324","0,1486","0,8950","0,9359","0,9040","0,6951"
2022Q2,"0,0575","0,0503","0,0478","0,0869","0,8142","0,7880","0,8181","0,7259"
2022Q3,"0,1222","0,1135","0,1023","0,1926","0,6069","0,4749","0,5050","0,4382"
2023Q1,"0,0346","0,0197","0,0361","0,1871","0,8885","0,9231","0,8827","0,5857"
2023Q2,"0,0482","0,0617","0,0556","0,0882","0,8370","0,7798","0,8162","0,7109"
2023Q3,"0,1411","0,1434","0,1363","0,2519","0,6268","0,4389","0,4620","0,3972"
