dates,l1,ssim,accuracy
2020-01-01,0.0776,0.5882,0.9266
2020-01-08,0.0797,0.6091,0.9212
2020-01-15,0.0765,0.614,0.927
2020-01-22,0.0773,0.6038,0.9021
2020-01-29,0.0976,0.619,0.9145
2020-02-05,0.1048,0.5764,0.9213
2020-02-12,0.1066,0.58,0.9213
2020-02-19,0.1088,0.5569,0.9151
2020-02-26,0.1094,0.5684,0.9297
2020-03-04,0.1102,0.5803,0.9369
2020-03-11,0.1035,0.5859,0.9379
2020-03-18,0.1132,0.5831,0.9496
2020-03-25,0.1188,0.5866,0.9536
2020-04-01,0.1473,0.5676,0.9368
2020-04-08,0.1526,0.5604,0.9376
2020-04-15,0.1429,0.5723,0.9396
2020-04-22,0.1113,0.5547,0.9345
2020-04-29,0.1022,0.5498,0.9325
2020-05-06,0.0958,0.5587,0.9378
2020-05-13,0.0912,0.5555,0.924
2020-05-20,0.1028,0.5099,0.9063
2020-05-27,0.0924,0.5255,0.9008
2020-06-03,0.1012,0.5125,0.887
2020-06-10,0.1027,0.4935,0.8689
2020-06-17,0.1099,0.4535,0.8498
2020-06-24,0.1182,0.4472,0.8319
2020-07-01,0.1195,0.4303,0.8212
2020-07-08,0.1307,0.4292,0.7825
2020-07-15,0.1435,0.4213,0.7684
2020-07-22,0.1598,0.4253,0.7489
2020-07-29,0.1809,0.3884,0.7311
2020-08-05,0.1985,0.3812,0.7184
2020-08-12,0.1941,0.378,0.7129
2020-08-19,0.2029,0.366,0.7182
2020-08-26,0.2005,0.3734,0.7003
2020-09-02,0.2086,0.3538,0.7058
2020-09-09,0.2016,0.3823,0.71
2020-09-16,0.2082,0.3523,0.6972
2020-09-23,0.2191,0.3474,0.6737
2020-09-30,0.2203,0.354,0.6566
2020-10-07,0.2189,0.3858,0.6452
2020-10-14,0.221,0.3734,0.669
2020-10-21,0.2095,0.3838,0.6868
2020-10-28,0.1966,0.4012,0.718
2020-11-04,0.1913,0.3738,0.7316
2020-11-11,0.1966,0.379,0.743
2020-11-18,0.2132,0.3935,0.7228
2020-11-25,0.2063,0.3898,0.7206
2020-12-02,0.1944,0.412,0.7328
2020-12-09,0.1561,0.444,0.7866
2020-12-16,0.1077,0.5441,0.8748
2020-12-23,0.0867,0.5045,0.9175
2021-01-01,0.1292,0.4985,0.8662
2021-01-08,0.1514,0.4725,0.84
2021-01-15,0.1376,0.473,0.8626
2021-01-22,0.1169,0.5257,0.876
2021-01-29,0.1134,0.5589,0.8916
2021-02-05,0.1117,0.5839,0.9086
2021-02-12,0.1242,0.5868,0.9265
2021-02-19,0.1311,0.5497,0.9109
2021-02-26,0.1391,0.5316,0.8807
2021-03-05,0.1242,0.5451,0.9096
2021-03-12,0.1238,0.567,0.9241
2021-03-19,0.1418,0.5507,0.9252
2021-03-26,0.1438,0.5461,0.9327
2021-04-02,0.1425,0.5106,0.9275
2021-04-09,0.1326,0.5106,0.8978
2021-04-16,0.117,0.5433,0.9412
2021-04-23,0.1126,0.5313,0.912
2021-04-30,0.1034,0.5746,0.9365
2021-05-07,0.1034,0.5762,0.9308
2021-05-14,0.0912,0.5443,0.9227
2021-05-21,0.0909,0.538,0.9211
2021-05-28,0.094,0.4876,0.9084
2021-06-04,0.0985,0.4858,0.8871
2021-06-11,0.1065,0.435,0.8764
2021-06-18,0.1056,0.4683,0.8583
2021-06-25,0.108,0.4431,0.8517
2021-07-02,0.1063,0.4771,0.8181
2021-07-09,0.1141,0.4143,0.8135
2021-07-16,0.1239,0.4458,0.803
2021-07-23,0.1483,0.4009,0.7566
2021-07-30,0.1563,0.3873,0.7376
2021-08-06,0.1743,0.3884,0.7282
2021-08-13,0.1681,0.3966,0.746
2021-08-20,0.1638,0.3956,0.7484
2021-08-27,0.1779,0.37,0.7282
2021-09-03,0.1713,0.3861,0.7376
2021-09-10,0.185,0.3489,0.7195
2021-09-17,0.19,0.3284,0.7095
2021-09-24,0.1959,0.3368,0.6987
