dates,l1,ssim,accuracy
2020-01-01,0.1042,0.6024,0.9589
2020-01-08,0.1048,0.6206,0.9591
2020-01-15,0.1076,0.6375,0.9465
2020-01-22,0.0904,0.6831,0.9533
2020-01-29,0.1198,0.6677,0.9398
2020-02-05,0.0734,0.7381,0.9626
2020-02-12,0.0648,0.7468,0.9677
2020-02-19,0.0608,0.7264,0.9501
2020-02-26,0.0692,0.7342,0.9648
2020-03-04,0.0552,0.7787,0.9642
2020-03-11,0.0516,0.7957,0.9598
2020-03-18,0.0512,0.7974,0.962
2020-03-25,0.0546,0.7881,0.9601
2020-04-01,0.0572,0.7998,0.9715
2020-04-08,0.0569,0.8028,0.9689
2020-04-15,0.057,0.8024,0.9695
2020-04-22,0.068,0.7428,0.9666
2020-04-29,0.0683,0.73,0.9591
2020-05-06,0.0662,0.7463,0.9584
2020-05-13,0.0962,0.685,0.9326
2020-05-20,0.1271,0.6142,0.8889
2020-05-27,0.1335,0.6053,0.8721
2020-06-03,0.1388,0.5944,0.8572
2020-06-10,0.1656,0.5351,0.8317
2020-06-17,0.1769,0.4864,0.8152
2020-06-24,0.1847,0.4576,0.7852
2020-07-01,0.1896,0.4345,0.7635
2020-07-08,0.2104,0.4013,0.7182
2020-07-15,0.2209,0.3487,0.6884
2020-07-22,0.2247,0.3139,0.6683
2020-07-29,0.2082,0.299,0.6752
2020-08-05,0.2039,0.2705,0.6717
2020-08-12,0.1844,0.2468,0.6994
2020-08-19,0.1792,0.2393,0.7141
2020-08-26,0.1813,0.2458,0.7346
2020-09-02,0.1774,0.2312,0.7484
2020-09-09,0.1698,0.211,0.778
2020-09-16,0.1597,0.247,0.7962
2020-09-23,0.1532,0.2482,0.8063
2020-09-30,0.1499,0.2428,0.8144
2020-10-07,0.1364,0.2557,0.8309
2020-10-14,0.1342,0.2298,0.8321
2020-10-21,0.1246,0.2492,0.8292
2020-10-28,0.1075,0.2995,0.8398
2020-11-04,0.1112,0.3367,0.8777
2020-11-11,0.1306,0.3065,0.8698
2020-11-18,0.1321,0.2889,0.8262
2020-11-25,0.1134,0.3442,0.857
2020-12-02,0.1196,0.3595,0.8311
2020-12-09,0.1097,0.4022,0.882
2020-12-16,0.0986,0.4699,0.9192
2020-12-23,0.097,0.5138,0.9395
2021-01-01,0.0906,0.6099,0.9393
2021-01-08,0.0902,0.6105,0.921
2021-01-15,0.0668,0.6919,0.9596
2021-01-22,0.0742,0.7098,0.9704
2021-01-29,0.0729,0.7243,0.9727
2021-02-05,0.0723,0.7207,0.9639
2021-02-12,0.0866,0.72,0.9505
2021-02-19,0.0763,0.7456,0.9546
2021-02-26,0.0603,0.7767,0.9648
2021-03-05,0.0561,0.7868,0.9638
2021-03-12,0.0505,0.814,0.973
2021-03-19,0.0601,0.7971,0.969
2021-03-26,0.0611,0.7966,0.962
2021-04-02,0.0638,0.7814,0.961
2021-04-09,0.0823,0.7325,0.9238
2021-04-16,0.0534,0.7944,0.9742
2021-04-23,0.0673,0.7498,0.9481
2021-04-30,0.0482,0.7963,0.9742
2021-05-07,0.0537,0.766,0.9662
2021-05-14,0.0698,0.6959,0.9636
2021-05-21,0.0754,0.6856,0.9717
2021-05-28,0.0983,0.6359,0.9471
2021-06-04,0.1157,0.5977,0.9307
2021-06-11,0.1354,0.551,0.9127
2021-06-18,0.1549,0.5186,0.8772
2021-06-25,0.1636,0.4932,0.8593
2021-07-02,0.1767,0.4563,0.8229
2021-07-09,0.1874,0.4285,0.8052
2021-07-16,0.1787,0.3919,0.7985
2021-07-23,0.1751,0.3737,0.7652
2021-07-30,0.1902,0.3252,0.7515
2021-08-06,0.1976,0.2931,0.7327
2021-08-13,0.1881,0.2678,0.7402
2021-08-20,0.1796,0.2515,0.7506
2021-08-27,0.1704,0.2263,0.7801
2021-09-03,0.1492,0.2396,0.8138
2021-09-10,0.1549,0.2295,0.8231
2021-09-17,0.1348,0.2423,0.8576
2021-09-24,0.1328,0.2305,0.8563
2021-10-01,0.1304,0.2189,0.8551
2021-10-08,0.1046,0.2823,0.8962
2021-10-15,0.0925,0.2693,0.9065
2021-10-22,0.091,0.3036,0.9252
2021-10-29,0.1191,0.3422,0.9249
2021-11-05,0.0963,0.3759,0.9374
2021-11-12,0.1223,0.3651,0.9282
2021-11-19,0.1568,0.375,0.9153
2021-11-26,0.1817,0.3735,0.8947
2021-12-03,0.1875,0.3867,0.8947
2021-12-10,0.1621,0.4364,0.915
2021-12-17,0.154,0.4831,0.9219
2021-12-24,0.1334,0.5403,0.9393
2022-01-01,0.108,0.6072,0.9613
2022-01-08,0.0961,0.6639,0.9637
2022-01-15,0.0712,0.717,0.9635
2022-01-22,0.0731,0.7392,0.9682
2022-01-29,0.0624,0.7225,0.9561
2022-02-05,0.0579,0.7851,0.9695
2022-02-12,0.0878,0.707,0.9215
2022-02-19,0.0682,0.7648,0.967
2022-02-26,0.0665,0.7743,0.9564
2022-03-05,0.0566,0.8162,0.9788
